,Country,Confirmed,2019GDP/billions,2020GDP/billion,2019GDP/billion
0,Afghanistan,208982,1.8904490262912997e-08,2.0143442150971002e-08,1.47868616384535e-08
1,Albania,334255,1.5401830754077298e-08,1.51318662705936e-08,1.82557874791846e-08
2,Algeria,271409,1.7176740374818998e-07,1.4500918149062e-07,1.63044443983759e-07
3,Andorra,47860,3.1550654875181897e-09,2.89102227298687e-09,3.33028152353915e-09
4,Angola,105184,6.930911014576871e-08,5.3619073505137705e-08,6.74042872603199e-08
7,Argentina,10040329,4.47754609218678e-07,3.85540224628292e-07,4.8722733910267e-07
8,Armenia,446332,1.36192913612814e-08,1.26416975232966e-08,1.3861409968835e-08
11,Azerbaijan,828229,4.8174235294117603e-08,4.2693e-08,5.46221764705882e-08
12,Bahamas,37491,1.31928e-08,9.6995e-09,1.1208600000000001e-08
13,Bahrain,700835,3.86533180851064e-08,3.47233574468085e-08,3.88686630319149e-08
14,Bangladesh,2037679,3.51238474244667e-07,3.7390213470041e-07,4.1626494289332603e-07
15,Barbados,106434,5.3242500000000005e-09,4.6718e-09,4.8438e-09
17,Belgium,4700949,5.35830876745097e-07,5.252118106526079e-07,5.94104177539525e-07
18,Belize,70697,2.4165e-09,2.0800000000000003e-09,2.4915e-09
19,Benin,27990,1.4391686309033003e-08,1.56515452088783e-08,1.71449189524682e-08
20,Bhutan,62608,2.53565706905537e-09,2.3251844814277002e-09,2.53955298467797e-09
21,Bolivia,1191090,4.0895322843785105e-08,3.66298438050216e-08,4.04082085281599e-08
22,Bosnia and Herzegovina,401472,2.0202479537519298e-08,1.9950471170646498e-08,2.33653616352201e-08
23,Botswana,329494,1.6695928792569698e-08,1.49300724585814e-08,1.7614791265682398e-08
24,Brazil,36932830,1.87327443275447e-06,1.4485599762181898e-06,1.60898145632508e-06
25,Brunei,276825,1.3469422958510499e-08,1.2005825759223e-08,1.4006569575680001e-08
26,Bulgaria,1295870,6.891587521465369e-08,7.02402750101964e-08,8.40563127343089e-08
27,Burkina Faso,22025,1.61781620300694e-08,1.79336063531775e-08,1.97376151143661e-08
29,Burundi,53574,2.57651884639e-09,2.64967199886192e-09,2.7798134890244697e-09
30,Cabo Verde,63235,1.9818457407061502e-09,1.7036986766974197e-09,1.93617404345293e-09
31,Cambodia,138704,2.7089389786979003e-08,2.58727980121938e-08,2.6961061119795703e-08
32,Cameroon,123993,3.96709773327348e-08,4.07732415312395e-08,4.53382833448175e-08
33,Canada,4580032,1.7420150454823101e-06,1.64542340756836e-06,1.98833633171742e-06
34,Central African Republic,15368,2.22130140072468e-09,2.32672092059223e-09,2.5164982990121197e-09
35,Central African Republic,15368,3.2486400147602097e-06,2.98262688840766e-06,3.5173726587536803e-06
36,Central African Republic,15368,8.871026074197622e-09,7.78087453666054e-09,8.543423502613401e-09
37,Central African Republic,15368,1.0572035498854101e-07,1.0669682862555e-07,1.165271010977e-07
38,Central African Republic,15368,4.1580418686193095e-06,3.89171678050241e-06,4.550386471314901e-06
39,Chad,7652,1.1314951342780701e-08,1.07153961354168e-08,1.1779980801784299e-08
40,Chile,5138732,2.7858473310301e-07,2.52727193710018e-07,3.1705850865176003e-07
41,China,4903517,1.42799375006065e-05,1.4687673892882e-05,1.77340626453714e-05
42,China,4903517,3.6305248918439504e-07,3.44932192028051e-07,3.69176400967427e-07
43,China,4903517,5.52047580695124e-08,2.5459563655480596e-08,3.01239148085691e-08
44,Colombia,6355637,3.23109540251855e-07,2.7029998493797e-07,3.1446413724133006e-07
45,Comoros,8992,1.1950195590938102e-09,1.22503923074083e-09,1.29608963260039e-09
46,Congo (Brazzaville),32818,1.27503390229915e-08,1.0483151175845099e-08,1.3366230219535201e-08
48,Costa Rica,1190377,6.441767008261271e-08,6.21580022330279e-08,6.4282438666739e-08
49,Cote d'Ivoire,88063,5.8539424929724805e-08,6.13485794651017e-08,7.00431914770454e-08
50,Croatia,1268224,6.23279835795899e-08,5.74720124266853e-08,6.89550832801922e-08
53,Czechia,4595326,2.52548179964897e-07,2.45974558654043e-07,2.81777887121451e-07
54,Denmark,3435885,3.4649873796163503e-07,3.5522244950521097e-07,3.9830327276446e-07
55,Djibouti,15690,3.0888536385683197e-09,3.1810711536622e-09,3.4829873790942e-09
57,Dominican Republic,660412,6.11537037037037e-10,5.04214814814815e-10,5.541814814814809e-10
58,Dominican Republic,660412,8.894129973350181e-08,7.88447023290785e-08,9.424345393744619e-08
59,Ecuador,1052007,1.08108009e-07,9.9291124e-08,1.0616586599999999e-07
60,Egypt,515666,3.03080865603645e-07,3.65252651278852e-07,4.0414276609305297e-07
61,El Salvador,201785,2.688114e-08,2.4563020000000003e-08,2.8736940000000002e-08
64,Estonia,614215,3.10819019092156e-08,3.13703955727658e-08,3.7191166151980004e-08
65,Eswatini,74158,4.49526416086577e-09,3.98222605538454e-09,4.74333515294181e-09
66,Ethiopia,499765,9.59125906281412e-08,1.07657734392446e-07,1.1127111232997501e-07
67,Fiji,68864,5.481675173380109e-09,4.47704034045226e-09,4.29630459001135e-09
68,Finland,1460857,2.6851491697254905e-07,2.71891788362647e-07,2.97301883523251e-07
69,France,39764042,2.7288702467058797e-06,2.63900870164826e-06,2.95787975926352e-06
70,Gabon,48981,1.68744054601955e-08,1.5314577167821102e-08,2.0216843173970202e-08
72,Georgia,1818861,1.74704362585131e-08,1.58429225327202e-08,1.86293655970017e-08
73,Germany,37907312,3.88822603592156e-06,3.88966889529962e-06,4.25993491182164e-06
74,Ghana,171152,6.83375378157703e-08,7.00431998136885e-08,7.759427905487951e-08
75,Greece,5548487,2.0525701489250201e-07,1.88925995936807e-07,2.14873879833648e-07
77,Grenada,19680,1.21348518518519e-09,1.04341481481481e-09,1.12280740740741e-09
80,Guinea-Bissau,8947,1.34428614437506e-08,1.41778358162777e-08,1.60918178422342e-08
81,Guinea-Bissau,8947,1.43963844338133e-09,1.43175824290375e-09,1.6385175331650401e-09
82,Guinea-Bissau,8947,1.13641338018914e-08,1.00991580747273e-08,1.22693928397472e-08
83,Guinea-Bissau,8947,2.4751344560885602e-08,2.3848265895953803e-08,2.6594305745554e-08
84,Guyana,73032,5.173760191846521e-09,5.47125659472422e-09,8.044498800959231e-09
85,Haiti,34076,1.4785839382900199e-08,1.45082180174032e-08,2.09443926150803e-08
87,Honduras,471224,2.50899769467736e-08,2.3827840809701398e-08,2.84886683016401e-08
88,Hungary,2193272,1.6398859492190201e-07,1.5718204526023e-07,1.8184802223389002e-07
90,India,44685425,2.8315522225199904e-06,2.6676879517964997e-06,3.1762950654972403e-06
91,Indonesia,6732799,1.11909986826525e-06,1.05868893545478e-06,1.18609299132004e-06
92,Iran,7565552,2.8374668518033805e-07,2.39735571102495e-07,3.59713152725063e-07
93,Iraq,2465545,2.33636097800338e-07,1.8436979731543603e-07,2.07889333724138e-07
94,Ireland,1701617,3.9932170163243104e-07,4.25852281928121e-07,5.04182603275542e-07
95,Ireland,1701617,2.48261021196357e-08,2.16946748099321e-08,2.56024192103374e-08
96,Israel,4791163,4.02470513619148e-07,4.1326766923152196e-07,4.88526545878891e-07
97,Italy,25519067,2.01130219882745e-06,1.89675530151814e-06,2.1077028426697296e-06
98,Jamaica,153905,1.58307685498916e-08,1.3812425036586398e-08,1.4657586937073499e-08
99,Japan,32971493,5.1233181515106194e-06,5.040107754084111e-06,4.94087778075533e-06
100,Jordan,1746997,4.49939923651297e-08,4.41822982918206e-08,4.57442716589141e-08
101,Kazakhstan,1496549,1.8166719007554097e-07,1.71082379532988e-07,1.9711225536061202e-07
102,Kenya,342817,1.0037971369742101e-07,1.0066654266572e-07,1.1034707951735601e-07
103,Kiribati,5008,1.77935349322211e-10,1.8091184364462202e-10,2.0703125e-10
104,Kosovo,272710,7.899879086430811e-09,7.71692535612536e-09,9.41203429923122e-09
108,Latvia,975590,3.43439610728235e-08,3.4601740323338606e-08,3.98535015798211e-08
109,Lebanon,1230141,5.19537445302445e-08,3.17121282537961e-08,2.3131940280731603e-08
110,Lesotho,34790,2.4539808352481897e-09,2.23121450747611e-09,2.49613468031694e-09
111,Liberia,8065,3.3195964999999997e-09,3.0399824999999996e-09,3.5089999999999998e-09
112,Libya,507166,6.92523063720232e-08,5.0357312594512897e-08,4.28174729753677e-08
114,Lithuania,1299971,5.4751510087780296e-08,5.68466229044391e-08,6.64452565853671e-08
115,Luxembourg,315352,6.982564185101171e-08,7.399259128530291e-08,8.55062438337816e-08
116,Madagascar,67849,1.41046645148681e-08,1.3051441059333798e-08,1.44726033225571e-08
118,Malaysia,5039486,3.65175135787568e-07,3.37337932675152e-07,3.72980957208023e-07
119,Maldives,185721,5.609400721622679e-09,3.74632193637729e-09,5.405576235794619e-09
121,Malta,117166,7.717042116751339e-08,7.762548697825611e-08,8.598575210746789e-08
122,Malta,117166,1.57258479794022e-08,1.4933066818960598e-08,1.73640449438202e-08
123,Marshall Islands,15590,2.320923e-10,2.417224e-10,2.595387e-10
125,Marshall Islands,15590,1.1974149999999998e-09,9.245830000000001e-10,9.432698000000001e-10
126,Mauritania,63667,8.06612631231807e-09,8.40549120174674e-09,9.99624965823982e-09
128,Mexico,7400848,1.2690117674785601e-06,1.09051538974941e-06,1.2728393341193e-06
129,Micronesia,23671,4.1199999999999997e-10,4.08e-10,4.040289e-10
130,Moldova,599578,1.19713450027757e-08,1.18597305435525e-08,1.3679221333205201e-08
131,Monaco,16095,7.38374566215157e-09,6.73969160479726e-09,8.596096984033119e-09
132,Mongolia,1007888,1.42063590068095e-08,1.3312981594573e-08,1.52864418181437e-08
133,Montenegro,286867,5.54205384529274e-09,4.76986074074074e-09,5.861268038798199e-09
134,Morocco,1272335,1.28919944681869e-07,1.21348138320276e-07,1.4286632919842001e-07
135,Mozambique,232819,1.5390039241674e-08,1.4028811071762799e-08,1.57767586328573e-08
136,Namibia,170741,1.2541928104624202e-08,1.05815856300773e-08,1.2310595843935302e-08
137,Nauru,4815,1.18724073809183e-10,1.14626625553023e-10,1.33218896932607e-10
138,Nepal,1001115,3.41861909959565e-08,3.34336705119364e-08,3.62888303734106e-08
139,Netherlands,8699058,9.101943475686259e-07,9.097934666614809e-07,1.01284676097673e-06
140,New Zealand,2207346,2.13434571357984e-07,2.11734532308013e-07,2.49885687029634e-07
141,Nicaragua,15612,1.2596636042232098e-08,1.25869705114131e-08,1.40130220920645e-08
143,Nigeria,266463,1.2916455161108101e-08,1.3744174689968099e-08,1.49150014269724e-08
144,Nigeria,266463,4.48120015209524e-07,4.32198936002177e-07,4.40833583992485e-07
146,North Macedonia,346533,1.2606338448547001e-08,1.23635805346811e-08,1.38250498317959e-08
147,Norway,1478328,4.0494136363636404e-07,3.6219831843526004e-07,4.82174854481956e-07
149,Pakistan,1576538,3.2090948922972304e-07,3.0042566677304303e-07,3.4826254471917797e-07
150,Palau,5987,2.789e-10,2.5190000000000003e-10,2.178e-10
151,Panama,1030214,6.69844e-08,5.3976999999999994e-08,6.36051e-08
153,Paraguay,806790,3.79253383291494e-08,3.5432178068181394e-08,3.9495431574178197e-08
154,Peru,4483729,2.2832349504090102e-07,2.0170505593865301e-07,2.2324949750038698e-07
155,Philippines,4074691,3.7682327856084904e-07,3.6175111629254103e-07,3.94086401171168e-07
156,Poland,6389741,5.96054591863312e-07,5.99449188399108e-07,6.794448328542951e-07
157,Portugal,5565479,2.39986922638902e-07,2.29031860520777e-07,2.53663144586019e-07
158,Qatar,492966,1.75837550989011e-07,1.4441136334526998e-07,1.79677211793938e-07
159,Romania,3327805,8.806085825747721e-08,7.590939765929781e-08,8.819197737321202e-08
160,Romania,3327805,2.51019278416197e-07,2.51362040527804e-07,2.84087563695798e-07
162,Rwanda,133090,1.03563271494262e-08,1.01843454421708e-08,1.10703565194804e-08
166,Samoa,16109,6.47e-10,7.16e-10,7.089999999999999e-10
167,Samoa,16109,9.12944537815126e-10,8.68904477722589e-10,8.43842416462442e-10
169,Sao Tome and Principe,6280,1.68753333333333e-09,1.3702814814814798e-09,1.4711259259259299e-09
170,Sao Tome and Principe,6280,1.67508382050122e-06,1.66490250774784e-06,1.90193531386967e-06
171,Sao Tome and Principe,6280,1.79432409202191e-06,1.67052219287845e-06,1.7873444130769899e-06
172,Sao Tome and Principe,6280,1.10784074074074e-09,8.845259259259259e-10,8.60840740740741e-10
173,Sao Tome and Principe,6280,2.09420172517451e-09,1.5160157187349098e-09,1.6912751566002e-09
174,Sao Tome and Principe,6280,1.7133500000000003e-08,1.55317e-08,1.80368e-08
175,Sao Tome and Principe,6280,4.2742503968433896e-10,4.72551022513384e-10,5.26653790670814e-10
176,Sao Tome and Principe,6280,5.3674170730613e-06,4.49445553722468e-06,5.18312735277693e-06
177,Sao Tome and Principe,6280,2.38495578118957e-08,2.10594288514883e-08,2.44601962706866e-08
178,Sao Tome and Principe,6280,9.10149703703704e-10,8.72134555555555e-10,9.04181492766708e-10
179,Saudi Arabia,828525,8.03616264791024e-07,7.033678412225551e-07,8.335412365693149e-07
180,Senegal,88902,2.3398811423578e-08,2.44931575832282e-08,2.7625388352168803e-08
181,Serbia,2479663,5.15142223818428e-08,5.33564804538048e-08,6.30820476498528e-08
182,Seychelles,50665,1.6843734901983098e-09,1.2611985241109201e-09,1.4544581838598102e-09
183,Sierra Leone,7760,4.076578542562069e-09,4.06328944958795e-09,4.042237864289421e-09
184,Singapore,2222006,3.75472731271075e-07,3.45295933898674e-07,3.96986899888351e-07
186,Slovenia,1323752,5.43315884823058e-08,5.37068000436842e-08,6.17485865348672e-08
187,Solomon Islands,24575,1.6191548192918502e-09,1.5361482455499498e-09,1.63148653192364e-09
188,Somalia,27322,1.72802511939527e-08,1.7465392915915298e-08,1.91404616058227e-08
189,Somalia,27322,1.1025371147187599e-08,1.21823482127073e-08,1.26267174918941e-08
190,Somalia,27322,6.485000000000001e-09,6.883e-09,7.62800001146184e-09
191,South Africa,4057211,1.00101704966046e-06,9.27484450967307e-07,1.08071160570963e-06
192,South Africa,4057211,7.94719102944191e-07,7.847996993873769e-07,8.40187283626448e-07
193,South Africa,4057211,3.6539509158358394e-06,3.4870134845216203e-06,4.08877063806694e-06
194,South Africa,4057211,1.79405177911445e-06,1.71102295183057e-06,1.91944443115221e-06
195,South Africa,4057211,1.7957361526046499e-06,1.71228415035468e-06,1.9208988893360703e-06
196,South Africa,4057211,3.6539509158358394e-06,3.4870134845216203e-06,4.08877063806694e-06
197,South Africa,4057211,1.7957361526046499e-06,1.71228415035468e-06,1.9208988893360703e-06
198,South Africa,4057211,3.8853195411060397e-07,3.37619680138494e-07,4.1901501837188705e-07
199,South Korea,30355373,3.47236125723543e-06,3.11519328226063e-06,3.67679872490159e-06
200,South Korea,30355373,1.3938104215988e-06,1.27314734551113e-06,1.49043832827551e-06
202,South Korea,30355373,1.37667692159879e-06,1.25761564551113e-06,1.4724028236003402e-06
204,Spain,13748918,1.3943200551294098e-06,1.27696268564825e-06,1.42738068129455e-06
205,Sri Lanka,672009,8.90149907919051e-08,8.53491121709594e-08,8.89272637248592e-08
206,Sudan,63759,3.23380791652893e-08,2.703459375e-08,3.43260585574418e-08
208,Suriname,82227,4.016040575087959e-09,2.91180749620227e-09,2.98470624365482e-09
209,Sweden,2696168,5.33879529188454e-07,5.470541742358759e-07,6.35663801201765e-07
210,Switzerland,4408833,7.21369112726724e-07,7.39913619797445e-07,8.006401553872601e-07
213,Tajikistan,17786,8.300784856879039e-09,8.13399664790397e-09,8.746270636401421e-09
214,Tanzania,42717,6.11368736923985e-08,6.24097091109538e-08,6.784104919338551e-08
215,Thailand,4727628,5.44081056184697e-07,4.99681757030968e-07,5.05947037098424e-07
216,Timor-Leste,23416,2.02855162760532e-09,2.1583925399369703e-09,3.62122238215929e-09
217,Togo,39362,7.2203952477424e-09,7.57463697866175e-09,8.4132005676151e-09
218,Tonga,16795,5.12057749020644e-10,4.84806718323882e-10,4.69231309539488e-10
220,Tunisia,1150477,4.190611368593241e-08,4.25378324562651e-08,4.6686741814278e-08
222,Tuvalu,2805,5.42231491136601e-11,5.5054710618677304e-11,6.310096153846149e-11
223,US,102849008,1.3922278643970802e-06,1.32690105912321e-06,1.55266736323606e-06
224,US,102849008,4.44621176100548e-07,4.35225238000437e-07,4.80368403893364e-07
225,US,102849008,6.44096471938044e-08,6.13711264141663e-08,6.820538070666088e-08
226,US,102849008,2.5944504645695703e-08,2.50084488863507e-08,2.84078675340035e-08
227,US,102849008,1.4436353897980198e-08,1.14010506545624e-08,1.1529042672352799e-08
228,US,102849008,1.69311390426289e-06,1.48936248843976e-06,1.77878262579374e-06
229,Uganda,170400,3.53530606342022e-08,3.76003681809399e-08,4.052978902557019e-08
230,Ukraine,5686987,1.53882982016281e-07,1.5661786144857598e-07,2.0008553774435402e-07
231,United Arab Emirates,1050402,2.81850243549325e-06,2.4908050992901405e-06,2.86072349769923e-06
232,United Arab Emirates,1050402,4.17989721734494e-07,3.49473015336939e-07,4.15021590683006e-07
233,United Arab Emirates,1050402,2.1380976119e-05,2.1060473613e-05,2.331508056e-05
234,United Kingdom,24549097,2.85705784795302e-06,2.70460916008815e-06,3.1313777629259504e-06
235,Uruguay,1033265,6.123114988058571e-08,5.3560755046616204e-08,5.93194847106527e-08
236,Uzbekistan,250743,5.99076740274676e-08,5.98943053528955e-08,6.923890310617379e-08
237,Vanuatu,12014,9.36526267622513e-10,8.96879875195008e-10,9.56332655718234e-10
239,Vietnam,11526692,3.34365257436758e-07,3.46615750664384e-07,3.6613759060069895e-07
242,Zambia,342288,1.81360827965044e-09,1.81216948372578e-09,2.03841746237695e-09
243,Zambia,342288,2.33086677812258e-08,1.81106313583114e-08,2.21476347273584e-08
244,Zimbabwe,263083,2.1832234925502104e-08,2.15096984061116e-08,2.8371238665511602e-08
